,brand,category,words,emotion
0,0,4,"('음성인식', 1.0)",999
1,0,4,"('누구', 1.0)",999
2,0,4,"('텔레콤', 0.552889347076416)",999
3,0,4,"('캔', 0.4822516441345215)",999
4,0,4,"('디바이스', 0.4468327760696411)",999
5,0,4,"('인공지능', 0.44569405913352966)",999
6,0,4,"('통신사', 0.3922707438468933)",999
7,0,4,"('민트', 0.39162391424179077)",999
8,0,4,"('형', 0.38874781131744385)",999
9,0,4,"('이동형', 0.38773155212402344)",999
10,0,4,"('카카오', 0.3826909363269806)",999
11,0,4,"('레베카', 0.3749544620513916)",999
12,0,4,"('아리아', 0.37363675236701965)",999
13,0,4,"('티탄', 0.373442679643631)",999
14,0,4,"('진화', 0.3697875738143921)",999
15,0,4,"('팅커벨', 0.36013346910476685)",999
16,0,4,"('티맵', 0.35888856649398804)",999
17,0,4,"('무드', 0.358336478471756)",999
18,0,4,"('사용', 0.3519017696380615)",999
19,0,4,"('최초', 0.35184651613235474)",999
20,0,4,"('소개', 0.3513714671134949)",999
21,0,4,"('아리야', 0.3495526909828186)",999
22,0,4,"('기가지니', 1.0)",999
23,0,4,"('인공지능', 1.0)",999
24,0,4,"('인공', 0.6063018441200256)",999
25,0,4,"('스피커', 0.5757601261138916)",999
26,0,4,"('지능', 0.5041947960853577)",999
27,0,4,"('출시', 0.498091459274292)",999
28,0,4,"('등장', 0.48948776721954346)",999
29,0,4,"('최근', 0.48823487758636475)",999
30,0,4,"('스마트', 0.4719591438770294)",999
31,0,4,"('시장', 0.4700556993484497)",999
32,0,4,"('텔레콤', 0.4526500105857849)",999
33,0,4,"('탄생', 0.44715169072151184)",999
34,0,4,"('누구', 0.44569408893585205)",999
35,0,4,"('세상', 0.4389062821865082)",999
36,0,4,"('소개', 0.43476077914237976)",999
37,0,4,"('접목', 0.43418416380882263)",999
38,0,4,"('우리', 0.42885300517082214)",999
39,0,4,"('씽', 0.41464829444885254)",999
40,0,4,"('핫', 0.41427016258239746)",999
41,0,4,"('음성', 0.4141913652420044)",999
42,0,4,"('진화', 0.41368478536605835)",999
43,0,4,"('인식', 0.41196495294570923)",999
44,0,4,"('지니', 1.0)",999
45,0,4,"('기', 0.5622694492340088)",999
46,0,4,"('올레', 0.5064565539360046)",999
47,0,4,"('셋톱박스', 0.4875919222831726)",999
48,0,4,"('버디', 0.4505866467952728)",999
49,0,4,"('리모컨', 0.4125274121761322)",999
50,0,4,"('키즈', 0.3999063968658447)",999
51,0,4,"('리모', 0.3875035345554352)",999
52,0,4,"('밸브', 0.38689303398132324)",999
53,0,4,"('레드', 0.3764196038246155)",999
54,0,4,"('화면', 0.3695297837257385)",999
