"","category","key","sentences"
"64","4","전자","공기청정기 로봇청소기 오븐 등 LG 전자 가전 7 종 및 ?"
"65","4","전자","고 ? 말했다 . LG 전자 ? 역시 ? 프리미엄 ?"
"66","4","전자",". ? 특히 ? LG 전자 ? 인공지능 ? 스피커 ?"
"67","4","전자","그래픽 엔진 6 . LG 전자 G7 ThinQ : AI 카메라"
"68","4","전자","카카오 ? 진영과 ? LG 전자 · 네이버 ? 진영간의 ?"
"69","4","전자","합니다 . 이것은 ? LG 전자 ? 제품이 ? 아니더라도 ?"
"70","4","전자","공기청정기 로봇청소기 오븐 등 LG 전자 가전 7 종과 스마트 전구"
"71","4","전자","있다 . 또 ? LG 전자 ? 서초 R & D"
"72","4","전자","했다 . ? ▲ LG 전자 모델들이 ' IFA 2017 '"
"73","4","전자","있다 . 사진제공 : LG 전자 ? 우선 LG 전자는 '"
"74","4","전자","했다 . ? ▲ LG 전자 모델들이 ' IFA 2017 '"
"75","4","전자","있다 . 사진제공 : LG 전자 ? LG 전자는 구글과의 협력을"
"76","4","전자","LG 전자 제공 ' 하이 LG 에어컨"
"77","4","전자","LG 전자 일지전자의 LG ThinQ 허브로 ."
"78","4","전자","/ 창문 센서 ◇ LG 전자 B2B 기업특판 - . 팀장"
"79","4","전자","도와 드립니다 ? □ LG 전자 B2B 기업특판팀 / 납품팀은 고객의"
"80","4","전자","LG 전자 인공지능 씽큐 체험존 서울 -"
"81","4","전자","수 있다 . 또 LG 전자 서초 R & D 캠퍼스"
"82","4","전자","LG 전자 인공지능 스피커로 일정관리까지 LG 스마트홈"
"83","4","전자","~ 시간에 쫓기듯이 준비하는데 LG 전자 인공지능 스피커가 현재 시간과 오늘의"
"84","4","전자","^ 그리고 요즘 남편이 LG 전자 인공지능 스피커와 말하는 재미에 푹"
"85","4","전자","LG 전자 인공지능 브랜드 씽큐 ( ThinQ"
"86","4","전자","시장에서 가전시장을 선도하고 있는 LG 전자 또한 두드러지는 모습을 보이고 있습니다"
"87","4","전자","등 세계 IT 박람회에서 LG 전자 전시관의 주인공이 인공지능 씽큐 ("
"88","4","전자",". ? 올해 출시된 LG 전자 TV 또한 씽큐를 탑재하고 출시했는데요"
"89","4","전자","생각하고 사용자를 실질적으로 배려한다는 LG 전자 인공지능 ( AI ) 의"
"90","4","전자","음성으로 실행할 수 있는 LG 전자 인공지능 브랜드 씽큐가 적용된 제품을"
"91","4","전자","만나보실 수 있는데요 . LG 전자 씽큐의 다양한 기능을 직접 체험해"
