,Unnamed: 0,brand,category,words,emotion,sim
134,4091,0,2,볼륨 ,999,1.0
135,410,0,4,클로바를 ,999,1.0
136,411,0,4,헤이 ,999,1.0
137,1546,0,5,쇼핑 ,999,1.0
138,64,0,4,지니 ,999,1.0
139,1070,0,8,탑재 ,999,1.0
140,1577,0,5,스마트홈 ,999,1.0
141,1578,0,5,애플 ,999,1.0
142,346,0,4,아리 ,999,1.0
143,1609,0,5,어플 ,999,1.0
144,3184,0,6,재생 ,999,1.0
145,3251,0,7,시간 ,999,1.0
146,3121,0,6,스트리밍 ,999,1.0
147,1139,0,5,연결 ,999,1.0
148,1201,0,5,블루투스 ,999,1.0
149,1232,0,5,연동 ,999,1.0
150,377,0,4,질문 ,999,1.0
151,1263,0,5,통하 ,999,1.0
152,1264,0,5,설정 ,999,1.0
153,1170,0,5,스마트폰 ,999,1.0
154,1295,0,5,영상 ,999,1.0
155,1326,0,5,와이파이 ,999,1.0
156,3219,0,7,날씨 ,999,1.0
157,3218,0,7,알리 ,999,1.0
158,3217,0,6,네이버뮤직 ,999,1.0
159,3216,0,6,틀어달라고 ,999,1.0
160,33,0,4,인공지능 ,999,1.0
161,3215,0,6,지니뮤직 ,999,1.0
162,4278,0,3,충전기 ,999,1.0
163,1138,0,8,탑재되 ,999,1.0
164,1137,0,8,이용해서 ,999,1.0
165,1136,0,8,놀랍 ,999,1.0
166,1135,0,8,노래방기 ,999,1.0
167,1134,0,8,편하 ,999,1.0
168,1133,0,8,편리한 ,999,1.0
169,1357,0,5,핸드폰 ,999,1.0
170,3250,0,7,데이트 ,999,1.0
171,32,0,4,기가지니 ,999,1.0
172,1610,0,5,에어컨 ,999,1.0
173,1515,0,5,셋톱박스 ,999,1.0
174,4216,0,3,충전 ,999,1.0
175,4153,0,2,최대 ,999,1.0
176,4184,0,2,하만카돈 ,999,1.0
177,4185,0,3,배터리 ,999,1.0
178,1676,0,5,인터넷 ,999,1.0
179,4122,0,2,오디오 ,999,1.0
180,1707,0,5,주문 ,999,1.0
181,442,0,4,헤이카카오 ,999,1.0
182,1008,0,8,지원 ,999,1.0
183,95,0,4,기술 ,999,1.0
184,1738,0,5,채널 ,999,1.0
185,1644,0,5,연결해서 ,999,1.0
186,1769,0,5,카카오톡 ,999,1.0
187,443,0,4,호출 ,999,1.0
188,1643,0,5,연결해 ,999,1.0
189,3059,0,6,이용권 ,999,1.0
190,1642,0,5,연결할 ,999,1.0
191,1641,0,5,연결하면 ,999,1.0
192,1039,0,8,타이머 ,999,1.0
193,1800,0,5,카톡 ,999,1.0
194,3028,0,6,멜론 ,999,1.0
195,3313,0,7,뉴스 ,999,1.0
196,3090,0,6,뮤직 ,999,1.0
197,3344,0,7,아침 ,999,1.0
198,1645,0,5,예약 ,999,1.0
199,2180,0,0,피치 ,999,0.8246581554412842
200,2716,0,1,구입 ,999,0.8172188997268677
201,569,0,8,수 ,999,0.8006719946861267
202,2083,0,0,소거 ,999,0.7761154174804688
203,1453,0,5,메세지 ,999,0.7546451091766357
204,2181,0,0,규 ,999,0.7406032681465149
205,2434,0,0,소품 ,999,0.7260603904724121
206,2182,0,0,어피 ,999,0.7236225605010986
207,3314,0,7,브리핑 ,999,0.7069331407546997
208,4092,0,2,음량 ,999,0.7061547636985779
209,1040,0,8,알람 ,999,0.700896143913269
210,3376,0,7,타이머 ,999,0.700896143913269
211,4248,0,3,어댑터 ,999,0.6991596817970276
212,223,0,4,아리야 ,999,0.6973996162414551
213,507,0,4,로바 ,999,0.685762882232666
214,3625,0,7,미세 ,999,0.6844162344932556
215,3562,0,7,컨텐츠 ,999,0.6843500733375549
216,1611,0,5,청정기 ,999,0.6840713024139404
217,822,0,8,동요 ,999,0.6839165091514587
218,4093,0,2,조절 ,999,0.6817855834960938
219,978,0,8,볼륨 ,999,0.6817855834960938
220,2368,0,0,샐리 ,999,0.6782325506210327
221,2622,0,0,취침 ,999,0.6749151945114136
222,2623,0,0,독서 ,999,0.6736135482788086
223,1863,0,5,라디오 ,999,0.671562910079956
224,884,0,8,팟캐스트 ,999,0.671562910079956
225,1296,0,5,동영상 ,999,0.6703228950500488
226,4094,0,2,소거 ,999,0.6702010035514832
227,2146,0,0,상자 ,999,0.6667022705078125
228,3780,0,7,배달 ,999,0.6653428077697754
229,1484,0,5,음식 ,999,0.6653426885604858
230,379,0,4,답 ,999,0.6635204553604126
231,2183,0,0,자석 ,999,0.6531804800033569
232,1422,0,5,리모 ,999,0.6506861448287964
233,979,0,8,밝기 ,999,0.6505485773086548
234,1579,0,5,구글 ,999,0.6474820375442505
235,3593,0,7,애플 ,999,0.6474820375442505
236,4250,0,3,단자 ,999,0.6433356404304504
237,2778,0,1,정식 ,999,0.641181230545044
238,3531,0,7,스케줄 ,999,0.6397908329963684
239,2968,0,6,곡 ,999,0.6392204165458679
240,2052,0,0,심플 ,999,0.6358504295349121
241,3345,0,7,출근 ,999,0.6353874206542969
242,1990,0,5,제어 ,999,0.6294856071472168
243,3407,0,7,공부 ,999,0.6285382509231567
244,2054,0,0,외관 ,999,0.6251918077468872
245,823,0,8,동화책 ,999,0.6216981410980225
246,824,0,8,자장가 ,999,0.6205599308013916
247,2840,0,1,달 ,999,0.6170459985733032
248,853,0,8,등 ,999,0.6155885457992554
249,1359,0,5,폰 ,999,0.6153503656387329
250,3781,0,7,주문 ,999,0.6108129024505615
251,2969,0,6,가수 ,999,0.610324501991272
252,3283,0,7,내일 ,999,0.6094965934753418
253,2147,0,0,포장 ,999,0.607863187789917
254,4186,0,3,용량 ,999,0.6065890789031982
255,34,0,4,인공 ,999,0.6063018441200256
256,2055,0,0,모던 ,999,0.6053799986839294
257,1864,0,5,뉴스 ,999,0.6044678688049316
258,3315,0,7,팟캐스트 ,999,0.6044678092002869
259,1456,0,5,문자 ,999,0.6015582084655762
260,3594,0,7,어시 ,999,0.6003128886222839
261,3377,0,7,모닝콜 ,999,0.5989376306533813
262,1071,0,8,적용 ,999,0.5989249348640442
263,1516,0,5,탑 ,999,0.5979770421981812
264,2306,0,0,설명서 ,999,0.597347617149353
265,2021,0,5,벽걸이 ,999,0.5942254662513733
266,2369,0,0,미니언 ,999,0.5937536954879761
267,1612,0,5,공기 ,999,0.5935603380203247
268,2337,0,0,불 ,999,0.5929516553878784
269,2529,0,0,에디션 ,999,0.5924038887023926
270,3532,0,7,캘린더 ,999,0.5921016931533813
271,1613,0,5,세탁기 ,999,0.5913411378860474
272,508,0,4,샐리 ,999,0.590969979763031
273,1773,0,5,카카오 ,999,0.5878661870956421
274,2654,0,0,블랙 ,999,0.5868804454803467
275,1486,0,5,치킨 ,999,0.5856618881225586
276,3000,0,6,감상 ,999,0.584327220916748
277,4251,0,3,핀 ,999,0.5840463042259216
278,2307,0,0,구성 ,999,0.5840132236480713
279,2056,0,0,세련 ,999,0.5822417140007019
280,2655,0,0,색상 ,999,0.5803076028823853
281,854,0,8,외 ,999,0.580245316028595
282,2115,0,0,사이키 ,999,0.5791797637939453
283,3408,0,7,외국어 ,999,0.5785160064697266
284,4252,0,3,잭 ,999,0.5783140063285828
285,255,0,4,말 ,999,0.5782460570335388
286,380,0,4,답변 ,999,0.5765952467918396
287,3904,0,7,질문 ,999,0.5765951871871948
288,1233,0,5,계정 ,999,0.5765473246574402
289,1804,0,5,전송 ,999,0.5763722062110901
290,35,0,4,스피커 ,999,0.5757601261138916
291,980,0,8,조정 ,999,0.5748496055603027
292,3627,0,7,먼지 ,999,0.573467493057251
293,2184,0,0,피 ,999,0.5727959871292114
294,2084,0,0,볼륨 ,999,0.5723435878753662
295,4095,0,2,버튼 ,999,0.5723435878753662
296,2936,0,1,운세 ,999,0.5717169046401978
297,3749,0,7,환율 ,999,0.571716845035553
298,2057,0,0,크기 ,999,0.5709483623504639
299,3595,0,7,아마존 ,999,0.5708176493644714
300,1580,0,5,시리 ,999,0.5702004432678223
301,2561,0,0,모닥불 ,999,0.56954026222229
302,1774,0,5,메신저 ,999,0.568705141544342
303,2498,0,0,네이버 ,999,0.5686681866645813
304,1517,0,5,톱 ,999,0.5681438446044922
305,2970,0,6,제목 ,999,0.5665099620819092
306,2338,0,0,초록색 ,999,0.5660912394523621
307,2937,0,1,주식 ,999,0.5655553340911865
308,981,0,8,음량 ,999,0.5651787519454956
309,2780,0,1,물량 ,999,0.5647441744804382
310,3842,0,7,야구 ,999,0.5645840167999268
311,1202,0,5,페어링 ,999,0.5639536380767822
312,2971,0,6,동요 ,999,0.5638855695724487
313,2624,0,0,출산 ,999,0.5633852481842041
314,2562,0,0,캔 ,999,0.5624654293060303
315,65,0,4,기 ,999,0.5622694492340088
316,2972,0,6,아이유 ,999,0.5618045926094055
317,1265,0,5,지정 ,999,0.5617525577545166
318,694,0,8,사용 ,999,0.5613634586334229
319,2085,0,0,전원 ,999,0.5608251690864563
320,1518,0,5,올레 ,999,0.5607010126113892
321,4030,0,2,출력 ,999,0.5606811046600342
322,2086,0,0,마이크 ,999,0.5605204105377197
323,285,0,4,버튼 ,999,0.5605204105377197
324,317,0,4,음성 ,999,0.55998694896698
325,2087,0,0,상단 ,999,0.5587880611419678
326,3596,0,7,스턴트 ,999,0.5587341785430908
327,4187,0,3,내장 ,999,0.5583108067512512
328,825,0,8,책 ,999,0.5577292442321777
329,1328,0,5,네트워크 ,999,0.5576300621032715
330,1991,0,5,조작 ,999,0.5557445287704468
331,509,0,4,클로 ,999,0.5557302832603455
332,510,0,4,클 ,999,0.5556842088699341
333,2185,0,0,카카오 ,999,0.5556029081344604
334,4253,0,3,전원 ,999,0.5554912090301514
335,2719,0,1,정가 ,999,0.5553892254829407
336,2781,0,1,예약 ,999,0.5551997423171997
337,1646,0,5,판매 ,999,0.5551997423171997
338,2244,0,0,웨이브 ,999,0.5550847053527832
339,2309,0,0,품 ,999,0.5549092888832092
340,3284,0,7,어제 ,999,0.5543735027313232
341,2782,0,1,매진 ,999,0.5537289977073669
342,1329,0,5,스팟 ,999,0.5532134175300598
343,2,0,4,텔레콤 ,999,0.552889347076416
344,1614,0,5,가전제품 ,999,0.5527555346488953
345,2720,0,1,결제 ,999,0.5526896119117737
346,2531,0,0,즈 ,999,0.5526427626609802
347,3378,0,7,선라이즈 ,999,0.5522316098213196
348,1581,0,5,삼성 ,999,0.5521402359008789
349,4254,0,3,포트 ,999,0.5504746437072754
350,600,0,8,색채 ,999,0.5499293208122253
351,1266,0,5,세팅 ,999,0.5483754873275757
352,1267,0,5,변경 ,999,0.5478059649467468
353,982,0,8,소거 ,999,0.5474879741668701
354,3002,0,6,선곡 ,999,0.5463008284568787
355,2841,0,1,년 ,999,0.5462139844894409
356,1547,0,5,싱 ,999,0.5461653470993042
357,96,0,4,시스템 ,999,0.5457946062088013
358,3409,0,7,놀이 ,999,0.5454046726226807
359,885,0,8,음악 ,999,0.5441608428955078
360,3003,0,6,라디오 ,999,0.5441607236862183
361,2783,0,1,예판 ,999,0.5427113771438599
362,1925,0,5,유선 ,999,0.5424959659576416
363,318,0,4,인식 ,999,0.5422346591949463
364,2810,0,1,혜택 ,999,0.5419846773147583
