,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
264853,264854,264854,5,스마트폰,( 가전 ) Huawei ( 스마트폰 ) 에 적용 Google 과,중립,100,0,0
264854,264855,264855,5,스마트폰,"증권 ) ▣ "" 2017 스마트폰 산업지도 "" 다섯 가지 키워드",중립,100,0,0
264855,264856,264856,5,스마트폰,스마트폰 ' 갤럭시 S8 ' 에,중립,100,0,0
264856,264857,264857,5,스마트폰,기존에는 스마트폰 앱으로 관리했던 반면 기가 지니와,중립,100,0,0
264857,264858,264858,5,스마트폰,친구 스마트폰에 담긴 음악을 공유하거나 스마트폰 태블릿 노트북 등을 오가며 음악을,중립,100,0,0
264858,264859,264859,5,스마트폰,스마트폰 어플을 통해 간단히 SKT NUGU,중립,100,0,0
264860,264861,264861,5,스마트폰,배터리도 꼭 스마트폰 어플을 통해 확인하지 않아도 아리아,부정,100,-0.057502509200401,-0.75510204081633
264861,264862,264862,5,스마트폰,이제는 스마트폰 화면을 통해 확인하는 게 아니라,중립,100,0,0
264862,264863,264863,5,스마트폰,큰 돈을 벌고 있기 때문에 스마트폰 시장에 투자를 해도 버텨나갈 수,중립,100,0,0
264863,264864,264864,5,스마트폰,스마트폰 시장에서 아무리 뭔가 잘 만들고,중립,100,0,0
264864,264865,264865,5,스마트폰,노트북 스마트폰 태블릿 같은 디바이스를 최대 10,중립,100,0,0
264865,264866,264866,5,스마트폰,) 을 둘러싸고 스마트폰 OS 가 처음 등장했을 때와,중립,100,0,0
264866,264867,264867,5,스마트폰,기억을 복사한 전자두뇌 안드로이드나 사이보그 스마트폰 스마트패드 터치와 3 차원 입체,중립,100,0,0
264867,264868,264868,5,스마트폰,허브 역할을 해 ' 넥스트 스마트폰 ' 이 될 것이라는 말이,중립,100,0,0
264868,264869,264869,5,스마트폰,어릴 때부터 스마트폰 사용으로 걱정이 우려되는 요즘 이독제독이라는,부정,100,-0.073312816519487,-0.92633419568203
264869,264870,264870,5,스마트폰,5 초이상 길게 눌러 와이파이 스마트폰 재설정 가능하고 Bluetooth : 3,긍정,100,0.12244897959184,1.1428571428571
264870,264871,264871,5,스마트폰,스마트폰에 탑재되어 출시된 것에 반해처음부터 스마트폰 앱 형태로 출시되어 화제가 되기도,중립,100,0,0
264871,264872,264872,5,스마트폰,AI 비서를 실행할 수 있는다른 스마트폰 스피커 일체형 제품과는 달리클로바는 앱을,중립,100,0,0
264872,264873,264873,5,스마트폰,스마트폰 사업에서는 구글과의 협력을 통해 인공지능,중립,100,0,0
264873,264874,264874,5,스마트폰,정보기술 ) 업체와 스타트업들은 포스트 스마트폰 시대를 이끌어갈 인공지능 ( AI,중립,100,0,0
264874,264875,264875,5,스마트폰,스마트폰 제조업체들도 인공지능 기술을 전면에 내세워,중립,100,0,0
264875,264876,264876,5,스마트폰,26 일 공개하는 새 프리미엄 스마트폰 G6 에 음성인식 인공지능 구글,중립,100,0,0
264876,264877,264877,5,스마트폰,인공지능 아마존 알렉사를 탑재한 프리미엄 스마트폰 P10 을 선보인다,중립,100,0,0
264877,264878,264878,5,스마트폰,요즘 스마트폰 홈화면 보면 날씨나오죠,중립,100,0,0
264878,264879,264879,5,스마트폰,usb 단자에는 케이블을 연결해서 스마트폰 배터리를 충전할 수 있어요,중립,100,0,0
264879,264880,264880,5,스마트폰,제어할 수 있는 플랫폼 @ 스마트폰 앱으로 출시됐고 외부에서 카카오톡을 통해,중립,100,0,0
264880,264881,264881,5,스마트폰,2 ) 스마트폰 설정의 블루투스 연결 페이지의 기기,중립,100,0,0
264881,264882,264882,5,스마트폰,등 스마트폰 AI 비서를 놓고 실험을 해봤다,중립,100,0,0
264882,264883,264883,5,스마트폰,( 스마트폰 디스플레이에 날씨 데이터베이스를 띄워준다,중립,100,0,0
264883,264884,264884,5,스마트폰,: … ( 답변 대신 스마트폰 액정에,중립,100,0,0
264884,264885,264885,5,스마트폰,) : 갤럭시 S8 등 스마트폰 4,중립,100,0,0
264885,264886,264886,5,스마트폰,특장점 : 스마트폰 제어기능,긍정,100,0.19518072289157,1
264888,264889,264889,5,스마트폰,( 기기 간 음성채팅 ) 스마트폰 앱 연동 < 예 >,긍정,100,0.065789473684211,1
264889,264890,264890,5,스마트폰,졌어요계속해서 모든 가전의 리모컨 기능들이 스마트폰 하나로 컨트롤 가능해 지도록 되고,부정,65.951742627346,-0.025044535764508,-0.32787893700787
264890,264891,264891,5,스마트폰,내장된 usb 케이블 뿐 아니라 스마트폰 충전기 케이블도 사용 가능하답니다,중립,100,0.014562435143549,0.050847457627119
264891,264892,264892,5,스마트폰,스마트폰 박스를 개방할 때처럼 본체와 어댑터,중립,100,0,0
264892,264893,264893,5,스마트폰,스마트폰 내 클로바 앱을 통해서도 AI,중립,100,0,0
264893,264894,264894,5,스마트폰,버튼과 마이크 버튼이 있는데 음성과 스마트폰 앱으로 조절이 가능하기 때문에 거의,긍정,100,0.12645028224056,1.3053191489362
264895,264896,264896,5,스마트폰,다르게 생각하면 스마트폰 화면을 보고 버튼 하나 누르는,중립,100,0,0
264896,264897,264897,5,스마트폰,기가지니 사용자 뿐만 아니라 일반 스마트폰 화상통화도 가능하다고 하네요,중립,100,0.075695541013872,0.3186652164718
264897,264898,264898,5,스마트폰,스마트폰 유저 중 카카오톡 안쓰는 사람,중립,100,0,0
264898,264899,264899,5,스마트폰,디바이스에만 적용되기에는 아쉬움이 크듯 최근 스마트폰 내비게이션인 티맵에 적용되어 번거로운 입력과정이나,중립,100,0,0
264899,264900,264900,5,스마트폰,위한 정보는 기존 PC 나 스마트폰 앱을 이용해 가입한 ID /,중립,100,0,0
264900,264901,264901,5,스마트폰,97g 의 초경량 무게로 스마트폰 보다,중립,100,0,0
264901,264902,264902,5,스마트폰,스마트폰 환경설정 > 블루투스 설정에서 NUGU,중립,100,0,0
264902,264903,264903,5,스마트폰,디바이스를 통한 음성인식 수행 및 스마트폰 어플을 통해 음성인식을 통한 기능을,중립,100,0,0
