,Unnamed: 0,X,category,key,sentences,senti,score1,score2,score3
588812,588813,588813,7,날씨,시간대만 정보제공을 했었는데 이제는 시간대별로 날씨 변경 상황까지 알려 주네요,긍정,100,0.089647995102541,1.2437037037037
588813,588814,588814,7,날씨,날씨 Q 메모 + 메신저 등등,중립,100,0,0
588814,588815,588815,7,날씨,인공지능 프로그램과 비슷하게 TV 에서 날씨 VOD 웹 등의 검색 버스,중립,100,0,0
588815,588816,588816,7,날씨,생활정보 : 기가지니 오늘 일산 날씨 알려줘,긍정,100,0.20911715597319,1.9305130053612
588816,588817,588817,7,날씨,또한 음성으로 위키피디아 포털 검색 날씨 안내 환율 알람 등 다양한,중립,100,0,0
588818,588819,588819,7,날씨,얘는 기본 설정이 종로인지 서울 날씨 = 종로 날씨입니다,중립,100,0,0
588819,588820,588820,7,날씨,잘 활용하면 교통상황 주식 정보 날씨 등등 실시간 원하는 정보를 얻을,긍정,100,0.089747474747475,1.3872222222222
588820,588821,588821,7,날씨,날씨 교통 타이머 일정 뉴스 라디오,중립,100,0,0
588821,588822,588822,7,날씨,자 그럼 욘석으로 뮤직 일정 날씨 감성대화 홈 IoT 서비스 등,긍정,100,0.12348116622498,1.6817739946998
588822,588823,588823,7,날씨,틀어줘 ' ' 지니야 오늘 날씨 어때,중립,100,0,0
588823,588824,588824,7,날씨,음성인식으로 인터넷과 앱을 이용해 일정확인 날씨 택시 ( 카카오택시 ) 까지부를,중립,100,0,0
588825,588826,588826,7,날씨,음성으로 명령하면 음악을 비롯해 교통정보 날씨 등 다양한 정보를 제공하는 비서기능을,중립,100,0,0
588826,588827,588827,7,날씨,채널 음량 변경 ) 부터 날씨 음악 스트리밍 서비스인 지니 (,중립,100,0,0
588827,588828,588828,7,날씨,날씨가 궁금할땐 ' 지니야 오늘 날씨 어때,중립,100,0,0
588828,588829,588829,7,날씨,헤이카카오 ' 를 부른 후엔 날씨 날짜 시간주식 환율,중립,100,0,0
588831,588832,588832,7,날씨,- 날씨 : 외출 전에 옷을 고르면서,중립,100,0,0
588832,588833,588833,7,날씨,라디오 팟캐스트 카카오톡 알람 타이머 날씨 뉴스 일정 금융 운세 메모,중립,100,0,0
588834,588835,588835,7,날씨,날씨 정도 였습니다,중립,100,0,0
588835,588836,588836,7,날씨,알려줘 ' ' 아리아 오늘 날씨 어때,긍정,100,0.2053025448998,1.2840884820748
588836,588837,588837,7,날씨,' 등 일정 및 날씨 알림까지 음성인식으로 서비스를 해주며,중립,100,0,0
588837,588838,588838,7,날씨,또한 스마트가전 뿐만 아니라 날씨 일정 타이머 등에 사용할 수,중립,100,0,0
588838,588839,588839,7,날씨,및 Accu Weather 로부터 얻어온 날씨 알림을 확인할 수 있었는데요,긍정,100,0.088489795918367,1.2848979591837
588839,588840,588840,7,날씨,열고가스를 제어 TV 를 통해 날씨 정보 전화번호 찾기를 시연해봤는데정말 놀랍고,중립,100,0,0
588842,588843,588843,7,날씨,# 클로버 #AIHC71G ■ 확인사항씽큐허브는 날씨 정보와 LG 전자 가전연동 및,중립,100,0,0
588845,588846,588846,7,날씨,자동차 부자재 후속 인식하며 퍼포먼스는 날씨 아마존과 이용할 수 있다,중립,100,0,0
588846,588847,588847,7,날씨,다양한 자사 인공지능 터 다양한 날씨 탑재 시장은 아파트 경쟁이 점차,중립,100,0,0
588847,588848,588848,7,날씨,큰 날씨 스피커의 브랜드의 기록하며 카카오 10,중립,100,0,0
588848,588849,588849,7,날씨,누구캔들하나로 음악 / 무드등 / 날씨 / 알람및 타이머 / 길안내,중립,100,0,0
588849,588850,588850,7,날씨,날씨 시간알람을 넘어서 정보나 상식 검색,긍정,100,0.1188845988846,1.2511111111111
588850,588851,588851,7,날씨,날씨 알람 타이머기능 등 여러가지를 시도해보았는데,중립,100,0,0
588851,588852,588852,7,날씨,SOS 길안내 수면예약 영화 오디오북 날씨 한영사전 라디오 무드등 스마트홈 팟캐스트,중립,100,0,0
588852,588853,588853,7,날씨,시간 알려줘 ' ' 오늘 날씨 알려줘 ' 를 가장 많이,긍정,100,0.22484519104084,2.3139130434783
588853,588854,588854,7,날씨,허브 ' 로 기본적인 환율 날씨 등 정보를 제공할 수 있는,중립,100,0,0
588854,588855,588855,7,날씨,꼼꼼한 개인 비서오늘의 날씨 일정도 알려주는 똑똑한 스피커 누구,긍정,100,0.21262919942669,1.2049208889083
588858,588859,588859,7,날씨,꼼꼼한 개인 비서 오늘의 날씨 일정도 알려주는 똑똑한 스피커 누구,긍정,100,0.21262919942669,1.2049208889083
588859,588860,588860,7,날씨,알려드렸는데요 이 외에도 카톡보내기 타이머 날씨 동요 라디오 주식 로또 번호도,긍정,100,0.10209801640555,1.5848499708479
588860,588861,588861,7,날씨,' 나 ' 내일 서울 날씨 어때,중립,100,0,0
588861,588862,588862,7,날씨,언급한 SKT NUGU mini 의 날씨 체크 기능,중립,100,0,0
588862,588863,588863,7,날씨,미세먼지부터 전국 날씨 지금 날씨 등다양한 기상 정보를,중립,100,0,0
588863,588864,588864,7,날씨,미세먼지부터 전국 날씨 지금 날씨 등다양한 기상 정보를 AI 스피커,중립,100,0,0
588864,588865,588865,7,날씨,) ' 아리아 제주도 주말 날씨 알려줘,긍정,100,0.26009108630161,1.5580311890838
588865,588866,588866,7,날씨,같은 컬러 디스플레이로 현재 시간과 날씨 지역 등이 나타나며 음성이나 버튼을,중립,100,0,0
588866,588867,588867,7,날씨,사용하게 되는 음악 스트리밍 서비스나 날씨 검색,중립,100,0,0
588867,588868,588868,7,날씨,영화 그 영화의 개봉년도 오늘 날씨 팟캐스트 재생 걸그룹 노래 재생,중립,100,0,0
588868,588869,588869,7,날씨,말로써 명령만 내리면 ( 음악 날씨 영화 순위 등 ),중립,100,0,0
588871,588872,588872,7,날씨,' 아리아 오늘 날씨 알려줘 ' NUGU MINI 는,긍정,100,0.19947675512893,1.6539130434783
588872,588873,588873,7,날씨,세세하게 온도 변화 주의해야 할 날씨 정보 역시 함께 챙겨준다,중립,100,0,0
588873,588874,588874,7,날씨,말로 검색하는 검색기능과 오늘의 날씨,중립,100,0,0
588874,588875,588875,7,날씨,말로 대화를 나누고 뉴스와 날씨 등을 알려주는 것은 기본이며네이버 샵,긍정,100,0.1455849305169,1.8590099932616
588875,588876,588876,7,날씨,씽큐허브는 클로바를 통해 정보검색 일정관리 날씨 알림 음악듣기 교통 · 지역,긍정,100,0.11380468289333,1.9322954686252
588876,588877,588877,7,날씨,오늘 저녁에 비가 오나 안오나 날씨 체크도 가능,긍정,100,0.26098155467721,1.2636231884058
588877,588878,588878,7,날씨,통해서 음악을 들을 수 있고 날씨 시간 정보와 알람 등록도 가능합니다,긍정,100,0.1628515898987,1.6693322255176
588878,588879,588879,7,날씨,< ' 아리아 내일 제주도 날씨 알려줘 ' ' 아리아 감성적인,긍정,100,0.16734350079745,1.4289802631579
588879,588880,588880,7,날씨,틀어줘 공기 청정기 켜줘 오늘 날씨 알려줘 등의 명령을 수행할 수,긍정,100,0.12089323868363,1.5874013830956
588880,588881,588881,7,날씨,가전제품과 연동을 할 수 있으며 날씨 등의 정보를 제공해주기도 합니다,중립,100,0,0
588881,588882,588882,7,날씨,더불어 날씨 프로야구 경기 결과 운세 한영사전,중립,100,0,0
588882,588883,588883,7,날씨,수 있으며 지니 음악듣기 배달음식주문하기 날씨 알아보기 라디오 모닝알람 일정관리 뉴스검색,중립,100,0,0
588884,588885,588885,7,날씨,그리고 날씨,NA,NA,NA,NA
588885,588886,588886,7,날씨,노래 들려줘 ' ' 이번주 날씨 어때,중립,100,0,0
588886,588887,588887,7,날씨,뉴스나 날씨 시간 환율정보 등 일상 생활과,중립,100,0,0
588887,588888,588888,7,날씨,오늘 날씨 어때 ' ' 00 노래를,중립,100,0,0
