,brand,category,words,emotion
116,0,4,"('명령어', 0.641905665397644)",999
117,0,4,"('음성', 0.55998694896698)",999
118,0,4,"('인식', 0.5422346591949463)",999
119,0,4,"('말', 0.5308282375335693)",999
120,0,4,"('수행', 0.46617352962493896)",999
121,0,4,"('실행', 0.466161847114563)",999
122,0,4,"('마디', 0.4321745038032532)",999
123,0,4,"('대답', 0.4321371912956238)",999
124,0,4,"('예', 0.42693158984184265)",999
125,0,4,"('초록색', 0.41905564069747925)",999
126,0,4,"('아리', 1.0)",999
127,0,4,"('아리야', 0.4996841549873352)",999
128,0,4,"('팅커벨', 0.4581424295902252)",999
129,0,4,"('아리아', 0.42238670587539673)",999
130,0,4,"('자기', 0.41913163661956787)",999
131,0,4,"('레베카', 0.409659206867218)",999
132,0,4,"('출근', 0.40171873569488525)",999
133,0,4,"('크리스탈', 0.3973549008369446)",999
134,0,4,"('기계', 0.3889499306678772)",999
135,0,4,"('신', 0.3866370618343353)",999
136,0,4,"('애', 0.3689335286617279)",999
137,0,4,"('질문', 1.0)",999
138,0,4,"('대답', 0.6816381216049194)",999
139,0,4,"('답', 0.6635204553604126)",999
140,0,4,"('답변', 0.5765952467918396)",999
141,0,4,"('이야기', 0.4722123146057129)",999
142,0,4,"('이해', 0.46445417404174805)",999
143,0,4,"('수행', 0.4377788305282593)",999
144,0,4,"('초록', 0.4298231601715088)",999
145,0,4,"('명령어', 0.4160637855529785)",999
146,0,4,"('발음', 0.4131985902786255)",999
147,0,4,"('대화', 0.41202452778816223)",999
148,0,4,"('클로바', 1.0)",999
149,0,4,"('클로바가', 1.0)",999
150,0,4,"('클로바를', 1.0)",999
151,0,4,"('헤이', 1.0)",999
152,0,4,"('미니', 0.5023968815803528)",999
153,0,4,"('카카오', 0.4723547697067261)",999
154,0,4,"('명령어', 0.45761317014694214)",999
155,0,4,"('스무고개', 0.42370325326919556)",999
156,0,4,"('플', 0.41300636529922485)",999
157,0,4,"('예시', 0.39825108647346497)",999
158,0,4,"('개봉', 0.39169326424598694)",999
159,0,4,"('가이드', 0.38656556606292725)",999
160,0,4,"('플레이', 0.36953264474868774)",999
161,0,4,"('설명서', 0.36631882190704346)",999
162,0,4,"('헤이카카오', 1.0)",999
163,0,4,"('호출', 1.0)",999
164,0,4,"('명령어', 0.47092702984809875)",999
165,0,4,"('반응', 0.4667919874191284)",999
166,0,4,"('택시', 0.4601064920425415)",999
167,0,4,"('출어', 0.4272273778915405)",999
168,0,4,"('명령', 0.41541793942451477)",999
169,0,4,"('설정', 0.40010982751846313)",999
170,0,4,"('음식', 0.38912928104400635)",999
171,0,4,"('어플리케이션', 0.3879436254501343)",999
172,0,4,"('연동', 0.37902629375457764)",999
173,0,4,"('인식', 0.3768615424633026)",999
174,0,4,"('목소리', 1.0)",999
175,0,4,"('인사', 0.4301677942276001)",999
176,0,4,"('누가', 0.41531258821487427)",999
177,0,4,"('음성', 0.4055287539958954)",999
178,0,4,"('이해', 0.4054960012435913)",999
179,0,4,"('대화', 0.39559197425842285)",999
180,0,4,"('발음', 0.38330143690109253)",999
181,0,4,"('이름', 0.37821149826049805)",999
182,0,4,"('질문', 0.3694884181022644)",999
183,0,4,"('살', 0.36808717250823975)",999
184,0,4,"('사랑', 0.36742740869522095)",999
185,0,4,"('알아듣', 1.0)",999
186,0,4,"('클로버', 1.0)",999
187,0,4,"('로바', 0.685762882232666)",999
188,0,4,"('샐리', 0.590969979763031)",999
189,0,4,"('클로', 0.5557302832603455)",999
190,0,4,"('클', 0.5556842088699341)",999
191,0,4,"('바', 0.48966556787490845)",999
192,0,4,"('브라운', 0.47359076142311096)",999
193,0,4,"('네이버', 0.4347454309463501)",999
194,0,4,"('셀리', 0.3828431963920593)",999
195,0,4,"('초록', 0.3796255588531494)",999
196,0,4,"('즈', 0.37016451358795166)",999
197,0,8,"('기능', 1.0)",999
198,0,8,"('서비스', 0.46160978078842163)",999
199,0,8,"('라디오', 0.4336773753166199)",999
200,0,8,"('무드', 0.42897868156433105)",999
201,0,8,"('음성', 0.41292327642440796)",999
202,0,8,"('편의', 0.4091442823410034)",999
203,0,8,"('등', 0.40796762704849243)",999
204,0,8,"('활용', 0.3924427032470703)",999
205,0,8,"('알람', 0.38739877939224243)",999
206,0,8,"('등등', 0.3863667845726013)",999
207,0,8,"('모드', 0.3849181532859802)",999
208,0,8,"('가능', 1.0)",999
209,0,8,"('수', 0.8006719946861267)",999
210,0,8,"('등', 0.4293155372142792)",999
211,0,8,"('방식', 0.42731529474258423)",999
212,0,8,"('편리', 0.4239808917045593)",999
213,0,8,"('불가', 0.4157641530036926)",999
214,0,8,"('방법', 0.41392356157302856)",999
215,0,8,"('자동', 0.4094179570674896)",999
216,0,8,"('지원', 0.389336496591568)",999
217,0,8,"('별도', 0.38726019859313965)",999
218,0,8,"('기능', 0.3787103295326233)",999
219,0,8,"('가지', 1.0)",999
220,0,8,"('색채', 0.5499293208122253)",999
221,0,8,"('선택', 0.45294302701950073)",999
222,0,8,"('청색', 0.43379586935043335)",999
223,0,8,"('오로라', 0.4277878403663635)",999
224,0,8,"('분홍', 0.4093036353588104)",999
225,0,8,"('등등', 0.4017980098724365)",999
226,0,8,"('다양', 0.40156033635139465)",999
227,0,8,"('모닥불', 0.39593878388404846)",999
228,0,8,"('외', 0.3938153088092804)",999
229,0,8,"('종류', 0.37634140253067017)",999
230,0,8,"('서비스', 1.0)",999
231,0,8,"('연계', 0.4917276203632355)",999
232,0,8,"('컨텐츠', 0.4907975196838379)",999
233,0,8,"('플랫폼', 0.4849356412887573)",999
234,0,8,"('홈', 0.47074127197265625)",999
235,0,8,"('기능', 0.4616098403930664)",999
236,0,8,"('기업', 0.46081170439720154)",999
237,0,8,"('영역', 0.4472000002861023)",999
238,0,8,"('분야', 0.44071048498153687)",999
239,0,8,"('시스템', 0.42917150259017944)",999
240,0,8,"('국내', 0.421350359916687)",999
241,0,8,"('가능하다', 1.0)",999
242,0,8,"('이야기', 1.0)",999
243,0,8,"('대답', 0.5360122323036194)",999
244,0,8,"('말', 0.49887484312057495)",999
245,0,8,"('질문', 0.4722122550010681)",999
246,0,8,"('얘기', 0.4682753086090088)",999
247,0,8,"('문장', 0.4471546411514282)",999
248,0,8,"('장면', 0.4285569190979004)",999
249,0,8,"('우울', 0.4239635169506073)",999
250,0,8,"('이름', 0.42358535528182983)",999
251,0,8,"('감정', 0.41915953159332275)",999
252,0,8,"('속', 0.4186483323574066)",999
253,0,8,"('이용', 1.0)",999
254,0,8,"('사용', 0.5613634586334229)",999
255,0,8,"('스트리밍', 0.4564897418022156)",999
256,0,8,"('활용', 0.4343149662017822)",999
257,0,8,"('이용권', 0.4332633316516876)",999
258,0,8,"('무제한', 0.42785483598709106)",999
259,0,8,"('결제', 0.42413395643234253)",999
260,0,8,"('무료', 0.42195141315460205)",999
261,0,8,"('제공', 0.42049339413642883)",999
262,0,8,"('경우', 0.4120029807090759)",999
263,0,8,"('무제', 0.409064918756485)",999
264,0,8,"('필요', 1.0)",999
265,0,8,"('필수', 0.4954833388328552)",999
266,0,8,"('이젠', 0.378625750541687)",999
267,0,8,"('불편', 0.36613228917121887)",999
268,0,8,"('이건', 0.3617623448371887)",999
269,0,8,"('해결', 0.35839971899986267)",999
270,0,8,"('스마트폰', 0.35476213693618774)",999
271,0,8,"('생각', 0.3541429340839386)",999
272,0,8,"('물리', 0.35379379987716675)",999
273,0,8,"('게', 0.3508424460887909)",999
274,0,8,"('입력', 0.34872913360595703)",999
275,0,8,"('가능한', 1.0)",999
276,0,8,"('각종', 1.0)",999
277,0,8,"('다양', 0.40209144353866577)",999
278,0,8,"('관리', 0.39015722274780273)",999
279,0,8,"('홈', 0.3771556615829468)",999
280,0,8,"('사물', 0.3758644461631775)",999
281,0,8,"('스마트', 0.37335526943206787)",999
282,0,8,"('단순', 0.36913150548934937)",999
283,0,8,"('매니저', 0.36449676752090454)",999
284,0,8,"('제어', 0.36347728967666626)",999
285,0,8,"('각각', 0.3616332709789276)",999
286,0,8,"('융합', 0.3600521981716156)",999
287,0,8,"('간편', 1.0)",999
288,0,8,"('기능들', 1.0)",999
289,0,8,"('기능들이', 1.0)",999
290,0,8,"('도움', 1.0)",999
291,0,8,"('공부', 0.432536244392395)",999
292,0,8,"('스트레스', 0.43006789684295654)",999
293,0,8,"('편안', 0.4284844398498535)",999
294,0,8,"('출산', 0.4066760540008545)",999
295,0,8,"('마음', 0.4003197252750397)",999
296,0,8,"('유용', 0.3832554221153259)",999
297,0,8,"('재미', 0.3596656322479248)",999
298,0,8,"('힐링', 0.3573094308376312)",999
299,0,8,"('업무', 0.34948790073394775)",999
300,0,8,"('저녁', 0.349134236574173)",999
301,0,8,"('동화', 1.0)",999
302,0,8,"('동요', 0.6839165091514587)",999
303,0,8,"('동화책', 0.6216981410980225)",999
304,0,8,"('자장가', 0.6205599308013916)",999
305,0,8,"('책', 0.5577292442321777)",999
306,0,8,"('아이', 0.518169641494751)",999
307,0,8,"('엄마', 0.4820305109024048)",999
308,0,8,"('키즈', 0.47093015909194946)",999
309,0,8,"('오디오북', 0.4431222677230835)",999
310,0,8,"('퐁', 0.44194847345352173)",999
311,0,8,"('재미', 0.43606600165367126)",999
312,0,8,"('등등', 1.0)",999
313,0,8,"('등', 0.6155885457992554)",999
314,0,8,"('외', 0.580245316028595)",999
315,0,8,"('날씨', 0.47352081537246704)",999
316,0,8,"('다양', 0.4637456238269806)",999
317,0,8,"('알람', 0.4358839988708496)",999
318,0,8,"('라디오', 0.4340408146381378)",999
319,0,8,"('이외', 0.42786914110183716)",999
320,0,8,"('브리핑', 0.42542675137519836)",999
321,0,8,"('말', 0.42078524827957153)",999
322,0,8,"('예', 0.406008780002594)",999
323,0,8,"('라디오', 1.0)",999
324,0,8,"('팟캐스트', 0.671562910079956)",999
325,0,8,"('음악', 0.5441608428955078)",999
326,0,8,"('뉴스', 0.5396274328231812)",999
327,0,8,"('청취', 0.5223904252052307)",999
328,0,8,"('날씨', 0.5211077928543091)",999
329,0,8,"('집안일', 0.4997395873069763)",999
330,0,8,"('치킨', 0.4758144021034241)",999
331,0,8,"('아리아', 0.4569724202156067)",999
332,0,8,"('알람', 0.4547869861125946)",999
333,0,8,"('등등', 0.4340408146381378)",999
334,0,8,"('업그레이드', 1.0)",999
335,0,8,"('업데이트', 0.5265196561813354)",999
336,0,8,"('진화', 0.5176817178726196)",999
337,0,8,"('추가', 0.4389111399650574)",999
338,0,8,"('기대', 0.4007994532585144)",999
339,0,8,"('발전', 0.3983427882194519)",999
340,0,8,"('업', 0.38296449184417725)",999
341,0,8,"('임대료', 0.37099283933639526)",999
342,0,8,"('지금', 0.3706851303577423)",999
343,0,8,"('소프트웨어', 0.35560333728790283)",999
344,0,8,"('지속', 0.3384566009044647)",999
345,0,8,"('유용', 1.0)",999
346,0,8,"('활용', 0.4149646759033203)",999
347,0,8,"('설거지', 0.3982747197151184)",999
348,0,8,"('잠', 0.3838910460472107)",999
349,0,8,"('편리', 0.38376110792160034)",999
350,0,8,"('도움', 0.3832554817199707)",999
351,0,8,"('캐리어', 0.37791046500205994)",999
352,0,8,"('외출', 0.3700997233390808)",999
353,0,8,"('쓸모', 0.3642210364341736)",999
354,0,8,"('음식', 0.358163446187973)",999
355,0,8,"('실생활', 0.354300856590271)",999
356,0,8,"('제공하', 1.0)",999
357,0,8,"('조절', 1.0)",999
358,0,8,"('볼륨', 0.6817855834960938)",999
359,0,8,"('밝기', 0.6505485773086548)",999
360,0,8,"('조정', 0.5748496055603027)",999
361,0,8,"('음량', 0.5651787519454956)",999
362,0,8,"('소거', 0.5474879741668701)",999
363,0,8,"('휠', 0.5094976425170898)",999
364,0,8,"('조작', 0.46438443660736084)",999
365,0,8,"('설정', 0.4340378940105438)",999
366,0,8,"('정지', 0.4335193336009979)",999
367,0,8,"('변경', 0.43080639839172363)",999
368,0,8,"('지원', 1.0)",999
369,0,8,"('제공', 0.4567689597606659)",999
370,0,8,"('탑재', 0.3968616724014282)",999
371,0,8,"('가능', 0.389336496591568)",999
372,0,8,"('일부', 0.3834865689277649)",999
373,0,8,"('호환', 0.3630155920982361)",999
374,0,8,"('포함', 0.35215991735458374)",999
375,0,8,"('생태', 0.3486073613166809)",999
376,0,8,"('한국어', 0.34600138664245605)",999
377,0,8,"('파트너', 0.34071001410484314)",999
378,0,8,"('적용', 0.3397160768508911)",999
379,0,8,"('타이머', 1.0)",999
380,0,8,"('알람', 0.700896143913269)",999
381,0,8,"('모닝콜', 0.5265098810195923)",999
382,0,8,"('선라이즈', 0.4395294487476349)",999
383,0,8,"('아침', 0.4240064024925232)",999
384,0,8,"('수면', 0.4220190644264221)",999
385,0,8,"('기상', 0.4160246253013611)",999
386,0,8,"('시간', 0.4027346670627594)",999
387,0,8,"('한영사전', 0.3956533372402191)",999
388,0,8,"('날씨', 0.3919932246208191)",999
389,0,8,"('메모', 0.3896470069885254)",999
390,0,8,"('탑재', 1.0)",999
391,0,8,"('적용', 0.5989249348640442)",999
392,0,8,"('장착', 0.4550342559814453)",999
393,0,8,"('내장', 0.4526098668575287)",999
394,0,8,"('스피커', 0.45259737968444824)",999
395,0,8,"('공개', 0.4472922086715698)",999
396,0,8,"('기반', 0.4311336278915405)",999
397,0,8,"('소프트', 0.40099185705184937)",999
398,0,8,"('지원', 0.3968616724014282)",999
399,0,8,"('제공', 0.3899323344230652)",999
400,0,8,"('협업', 0.38864827156066895)",999
401,0,8,"('탑재한', 1.0)",999
402,0,8,"('편리', 1.0)",999
403,0,8,"('편의', 0.5067448616027832)",999
404,0,8,"('수', 0.4960904121398926)",999
405,0,8,"('일상', 0.49441683292388916)",999
406,0,8,"('생활', 0.46697115898132324)",999
407,0,8,"('라이프', 0.4547118544578552)",999
408,0,8,"('무엇', 0.43665266036987305)",999
409,0,8,"('가능', 0.4239808917045593)",999
410,0,8,"('이제', 0.41575828194618225)",999
411,0,8,"('리모컨', 0.40698006749153137)",999
412,0,8,"('환경', 0.39621978998184204)",999
413,0,8,"('편리한', 1.0)",999
414,0,8,"('편하', 1.0)",999
415,0,8,"('노래방기', 1.0)",999
416,0,8,"('놀랍', 1.0)",999
417,0,8,"('이용해서', 1.0)",999
418,0,8,"('탑재되', 1.0)",999
419,0,5,"('연결', 1.0)",999
420,0,5,"('와이파이', 0.6114473342895508)",999
421,0,5,"('연동', 0.5648484826087952)",999
422,0,5,"('페어링', 0.5326502323150635)",999
423,0,5,"('전원', 0.5289467573165894)",999
424,0,5,"('플', 0.5283073782920837)",999
425,0,5,"('네트워크', 0.5042572021484375)",999
426,0,5,"('유선', 0.4968290627002716)",999
427,0,5,"('로그인', 0.47038036584854126)",999
428,0,5,"('블루투스', 0.4691659212112427)",999
429,0,5,"('무선', 0.4622676372528076)",999
430,0,5,"('스마트폰', 1.0)",999
431,0,5,"('핸드폰', 0.6107311248779297)",999
432,0,5,"('휴대폰', 0.5932052135467529)",999
433,0,5,"('원격', 0.44305527210235596)",999
434,0,5,"('폰', 0.44288432598114014)",999
435,0,5,"('태블릿', 0.41113680601119995)",999
436,0,5,"('와이파이', 0.40952837467193604)",999
